"Campaign name","Campaign ID","Ad set name","Ad set ID","Ad name","Ad ID",Day,Gender,Age,Text,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (USD)","Cost per result",Starts,Ends,"Reporting starts","Reporting ends"
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,2026-06-26,female,55-64,"We turn the places they love into stunning art pieces. Any street, anywhere - turned into a beautiful framed print that tells a story.",not_delivering,ad,1,1,1,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",,0,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,2026-06-26,male,35-44,"This one's different. 
We turn any American street into a stunning framed print - the block they grew up on, where life-changing moments happened.
Watch their face light up with this unique piece of personalized wall decor.",not_delivering,ad,2,2,1,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",,0.09,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,2026-06-26,male,25-34,"This one's different. 
We turn any American street into a stunning framed print - the block they grew up on, where life-changing moments happened.
Watch their face light up with this unique piece of personalized wall decor.",not_delivering,ad,2,2,1,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",,0.06,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,2026-06-26,unknown,65+,"This one's different. 
We turn any American street into a stunning framed print - the block they grew up on, where life-changing moments happened.
Watch their face light up with this unique piece of personalized wall decor.",not_delivering,ad,1,1,1,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",,0,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,2026-06-26,male,55-64,"This one's different. 
We turn any American street into a stunning framed print - the block they grew up on, where life-changing moments happened.
Watch their face light up with this unique piece of personalized wall decor.",not_delivering,ad,1,1,1,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",,0,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,2026-06-26,male,45-54,"This one's different. 
We turn any American street into a stunning framed print - the block they grew up on, where life-changing moments happened.
Watch their face light up with this unique piece of personalized wall decor.",not_delivering,ad,1,1,1,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",,0.05,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,2026-06-26,male,35-44,"This one's different. 
We turn any American street into a stunning framed print - the block they grew up on, where life-changing moments happened.
Watch their face light up with this unique piece of personalized wall decor.",not_delivering,ad,1,1,1,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",,0.32,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,2026-06-26,male,25-34,"This one's different. 
We turn any American street into a stunning framed print - the block they grew up on, where life-changing moments happened.
Watch their face light up with this unique piece of personalized wall decor.",not_delivering,ad,1,1,1,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",,0,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,2026-06-26,male,55-64,"No gamble here! 🎨 Every print is shipped on high-quality, heavyweight fine art paper with archival inks, framed in real wood. Free shipping, guaranteed.",not_delivering,ad,15,17,1.13333333,Incremental,"Website purchases",,0.21,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,2026-06-26,male,45-54,"We turn the places they love into stunning art pieces. Any street, anywhere - turned into a beautiful framed print that tells a story.",not_delivering,ad,2,2,1,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",,0.01,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,2026-06-26,female,45-54,"Find their street. Frame it.

Personalized street art for years of memories, not just a gift that gets forgotten by Monday.",not_delivering,ad,1,1,1,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",,0.01,,2026-06-18,Ongoing,2026-06-26,2026-06-26
